Comment,Designator,Footprint,LCSC
Conn_01x05,BUS_CAN1,JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical,
NUCLEO-F303K8,STM32FM303K8,MODULE_NUCLEO-F303K8,
1k,R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
BC557,Q1,TO-92_Inline,
D,D1,D_A-405_P12.70mm_Horizontal,
180,R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
Conn_01x03,SERVO2,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,
R,R2,R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,
Conn_01x02,PompeAVide1,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,
10k,R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
IRFZ44NPBF,U2,TO-220-3_Horizontal_TabDown,
MCP2551-I-P,U1,DIP-8_W7.62mm,
Molex_Micro-Fit_3.0_43650-0300_1x03_P3.00mm_Horizontal,JS1,Molex_Micro-Fit_3.0_43650-0300_1x03_P3.00mm_Horizontal,
Conn_01x03,SERVO1,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,
TestPoint,TP4,TestPoint_Pad_D2.0mm,
TestPoint,TP8,TestPoint_Pad_D2.0mm,
C,C2,C_1206_3216Metric,
TestPoint,TP7,TestPoint_Pad_D2.0mm,
TestPoint,TP2,TestPoint_Pad_D2.0mm,
C,C4,C_1206_3216Metric,
TestPoint,TP6,TestPoint_Pad_D2.0mm,
C,C3,C_1206_3216Metric,
C,C1,C_1206_3216Metric,
TestPoint,TP5,TestPoint_Pad_D2.0mm,
TestPoint,TP3,TestPoint_Pad_D2.0mm,
